page	blob	order	pkg	name	note
dock	LLM Assistants	1	com.openai.chatgpt		
dock	LLM Assistants	2	com.anthropic.claude		
dock	LLM Assistants	3	com.deepseek.chat		
dock	Payment	1	com.google.android.apps.walletnfcrel		
dock	Payment	2	com.mobile.bitkogan		
dock	Payment	3	com.tradingview.tradingviewapp		
dock	Payment	4	com.coinmarketcap.android		
dock	Payment	5	com.yahoo.mobile.client.android.finance		
1	Productivity & Docs	1	com.google.android.apps.docs.editors.sheets		
1	Productivity & Docs	1	com.google.android.apps.docs.editors.slides		
1	Productivity & Docs	1	com.google.android.keep		
1	Productivity & Docs	1	com.miui.notes		
1	Productivity & Docs	1	net.gsantner.markor		
1	Productivity & Docs	1	com.adobe.reader		
1	Productivity & Docs	1	com.adobe.scan.android		
1	Productivity & Docs	1	com.kursx.smartbook		
1	Productivity & Docs	1	org.geometerplus.zlibrary.ui.android		
1	Productivity & Docs	1	com.dropbox.android		
1	Productivity & Docs	1	ru.yandex.disk		
1	Productivity & Docs	1	com.trello		
1	Productivity & Docs	1	com.github.android		
1	Productivity & Docs	1	io.coda.codaapp		
1	Chats & Video Calls	2	org.jitsi.meet		
1	Chats & Video Calls	2	us.zoom.videomeetings		
1	Chats & Video Calls	2	ru.yandex.telemost		
1	Chats & Video Calls	2	com.microsoft.office.lync15		
1	Chats & Video Calls	2	chat.delta		
1	VPNs	3	app.hiddify.com		
1	Translation	4	com.google.android.apps.translate		
1	Translation	4	com.softissimo.reverso.context		
1	Translation	4	ru.poas.learn.japanese.jlpt.katakana.kana.hiragana.kanji.romaji		
1	Translation	4	ru.poas.turkishwords		
1	Social & Video	5	com.vkontakte.android		
1	Social & Video	5	com.vk.vkvideo		
1	Social & Video	5	ru.ok.android		
1	Social & Video	5	ru.kinopoisk		
1	Social & Video	5	ru.ivi.client		
1	Music	6	ru.yandex.music		
1	Music	6	com.soundcloud.android		
1	Music	6	com.uma.musicvk		
1	Music	6	com.miui.fm		
1	Health & Fitness	7	com.xiaomi.hm.health		
1	Health & Fitness	7	com.google.android.apps.fitness		
1	Health & Fitness	7	com.strava		
1	Health & Fitness	7	com.zwift.android.prod		
1	Health & Fitness	7	com.garmin.android.apps.connectmobile		
1	Health & Fitness	7	com.garmin.android.apps.explore		
1	Health & Fitness	7	com.garmin.connectiq		
1	Health & Fitness	7	com.invitro.app		
1	Travel & Airlines	8	ru.aeroflot		
1	Travel & Airlines	8	ru.s7.android		
1	Travel & Airlines	8	com.turkishairlines.mobile		
1	Travel & Airlines	8	com.appkode.pobeda.aero		
1	Travel & Airlines	8	aero.svo.app		
1	Travel & Airlines	8	ru.aviasales		
1	Travel & Airlines	8	net.skyscanner.android.main		
1	Travel & Airlines	8	ru.ostrovok.android		
1	Travel & Airlines	8	com.airbnb.android		
1	Travel & Airlines	8	com.booking		
1	Travel & Airlines	8	com.outdooractive.Outdooractive		
1	Travel & Airlines	8	com.pozitron.pegasus		
1	Accounts & Security	9	com.google.android.apps.authenticator2		
1	Accounts & Security	9	com.passbolt.mobile.android		
1	Accounts & Security	9	com.synology.securesignin		
1	Accounts & Security	9	com.google.android.apps.adm		
1	Weather	10	com.miui.weather2		
1	Weather	10	ru.yandex.weatherplugin		
1	Smart Home	11	com.xiaomi.smarthome		
1	Smart Home	11	com.huawei.smarthome		
1	Smart Home	11	com.dreame.smartlife		
1	Smart Home	11	com.tion.magicair		
