package	state	category	note
cn.wps.moffice_eng	absent	bloat	WPS Office variant
cn.wps.xiaomi.abroad.lite	absent	bloat	WPS Office variant
com.alibaba.aliexpresshd	absent	bloat	AliExpress
com.amazon.appmanager	absent	bloat	Amazon
com.amazon.fv	absent	bloat	Amazon Freevee
com.amazon.kindle	absent	bloat	Kindle
com.amazon.mp3	absent	bloat	Amazon Music
com.amazon.mshop.android	absent	bloat	Amazon Shopping
com.amazon.mshop.android.shopping	absent	bloat	Amazon Shopping
com.amazon.venezia	absent	bloat	Amazon Appstore
com.android.providers.downloads.ui	absent	bloat	Downloads UI, redundant
com.audible.application	absent	bloat	Audible
com.bitdefender.security	absent	bloat	Bitdefender trial
com.block.juggle	absent	game	preinstalled game
com.block.puzzle.game.hippo.mi	absent	game	preinstalled game
com.blurb.checkout	absent	bloat	Blurb
com.booking	optional	bloat	Booking.com — kept, fine to have per user preference
com.cnn.mobile.android.phone.edgepanel	absent	bloat	CNN
com.crazy.juicer.xm	absent	game	preinstalled game
com.duokan.phone.remotecontroller	absent	bloat	Mi Remote
com.einnovation.temu	absent	bloat	Temu
com.enhance.gameservice	absent	bloat	game enhance service
com.facebook.appmanager	absent	bloat	Facebook
com.facebook.katana	absent	bloat	Facebook
com.facebook.orca	absent	bloat	Messenger
com.facebook.services	absent	bloat	Facebook
com.facebook.system	absent	bloat	Facebook
com.flipboard.app	absent	bloat	Flipboard
com.flipboard.boxer.app	absent	bloat	Flipboard
com.fugo.wow	absent	game	preinstalled game
com.funtomic.matchmasters	absent	game	preinstalled game
com.gameduell.tarot	absent	game	preinstalled game
com.google.android.apps.books	absent	obsolete-app	Play Books
com.google.android.apps.docs	absent	obsolete-app	Google Docs
com.google.android.apps.magazines	absent	obsolete-app	Google News (legacy)
com.google.android.apps.plus	absent	obsolete-app	Google+ (defunct)
com.google.android.apps.subscriptions.red	absent	obsolete-app	Play Pass
com.google.android.apps.tachyon	absent	obsolete-app	Duo (defunct, merged into Meet)
com.google.android.apps.youtube.music	absent	obsolete-app	YT Music
com.google.android.music	absent	obsolete-app	Play Music (defunct)
com.google.android.talk	absent	obsolete-app	Hangouts (defunct)
com.google.android.videos	absent	obsolete-app	Play Movies
com.google.audio.hearing.visualization.accessibility.scribe	absent	bloat	Live Transcribe helper
com.imdb.mobile	absent	bloat	IMDb
com.infraware.polarisoffice5	absent	bloat	Polaris Office
com.jewelsblast.ivygames.Adventure.free	absent	game	preinstalled game (note: capital A in package name on this build)
com.lemon.lvoverseas	optional	bloat	CapCut — kept, fine to have per user preference
com.linkedin.android	absent	bloat	LinkedIn
com.mi.global.pocobbs	absent	bloat	POCO forum
com.mi.global.pocostore	absent	bloat	POCO store
com.mi.globalbrowser	absent	bloat	Mi Browser
com.micredit.in	absent	bloat	Mi Credit
com.microsoft.office.excel	absent	bloat	MS Office
com.microsoft.office.officehubrow	absent	bloat	MS Office hub
com.microsoft.office.outlook	absent	bloat	Outlook
com.microsoft.office.powerpoint	absent	bloat	MS Office
com.microsoft.office.word	absent	bloat	MS Office
com.microsoft.skydrive	absent	bloat	OneDrive
com.miui.analytics	absent	ad-telemetry	MIUI analytics
com.miui.audioeffect	absent	bloat	audio effect UI
com.miui.audiomonitor	absent	bloat	audio monitor
com.miui.carlink	absent	bloat	car link, unused
com.miui.compass	absent	bloat	compass app (protected on this build — reconciler auto-falls-back to disable)
com.miui.extraphoto	absent	bloat	extra photo features
com.miui.hybrid	absent	bloat	quick apps runtime
